Frequency_Hz,Z_real_Ohm,Z_imag_Ohm
1000000.0,6.002,-0.0025
873326.1623828437,6.0021,-0.0027
762698.5859023451,6.0023,-0.003
666084.6290809154,6.0024,-0.0032
581709.1329374358,6.0026,-0.0035
508021.80469130224,6.0028,-0.0038
443668.7330978616,6.003,-0.0042
387467.5120456128,6.0032,-0.0046
338385.51534282335,6.0034,-0.005
295520.9235202888,6.0037,-0.0055
258086.15404180766,6.0039,-0.006
225393.39047347888,6.0042,-0.0066
196841.94472866112,6.0045,-0.0072
171907.22018585747,6.0048,-0.0079
150131.07289081742,6.0051,-0.0087
131113.3937421563,6.0055,-0.0096
114504.75699382812,6.0059,-0.0105
100000.0,6.0063,-0.0116
87332.61623828438,6.0068,-0.0128
76269.85859023451,6.0072,-0.0142
66608.46290809155,6.0077,-0.0157
58170.91329374358,6.0083,-0.0174
50802.180469130224,6.0089,-0.0193
44366.87330978607,6.0095,-0.0214
38746.75120456128,6.0101,-0.0238
33838.551534282335,6.0109,-0.0265
29552.092352028878,6.0116,-0.0296
25808.615404180768,6.0124,-0.033
22539.339047347934,6.0133,-0.0368
19684.19447286611,6.0142,-0.0412
17190.722018585744,6.0152,-0.0461
15013.107289081743,6.0163,-0.0516
13111.33937421563,6.0175,-0.0579
11450.475699382812,6.0187,-0.065
10000.0,6.02,-0.073
8733.261623828437,6.0215,-0.0821
7626.9858590234435,6.023,-0.0924
6660.846290809161,6.0246,-0.1041
5817.091329374358,6.0264,-0.1174
5080.218046913023,6.0283,-0.1324
4436.6873309786115,6.0304,-0.1495
3874.675120456132,6.0326,-0.169
3383.8551534282333,6.035,-0.1911
2955.2092352028876,6.0376,-0.2162
2580.861540418074,6.0405,-0.2448
2253.933904734791,6.0436,-0.2774
1968.4194472866113,6.047,-0.3145
1719.0722018585745,6.0508,-0.3567
1501.3107289081743,6.055,-0.4048
1311.1339374215643,6.0598,-0.4597
1145.0475699382823,6.0651,-0.5222
1000.0,6.0711,-0.5935
873.3261623828437,6.078,-0.6748
762.6985859023443,6.086,-0.7675
666.0846290809161,6.0954,-0.8733
581.7091329374358,6.1065,-0.9941
508.0218046913023,6.1196,-1.1318
443.6687330978611,6.1355,-1.2891
387.4675120456132,6.1548,-1.4684
338.38551534282334,6.1785,-1.6731
295.52092352028876,6.2079,-1.9065
258.0861540418074,6.2445,-2.1727
225.39339047347912,6.2904,-2.476
196.84194472866113,6.3485,-2.8214
171.90722018585745,6.4221,-3.2144
150.13107289081742,6.516,-3.6608
131.11339374215643,6.6358,-4.1671
114.50475699382824,6.7892,-4.7398
100.0,6.9855,-5.3855
87.33261623828437,7.2369,-6.1105
76.26985859023452,7.5582,-6.9199
66.60846290809154,7.9676,-7.817
58.170913293743574,8.4868,-8.8016
50.80218046913023,9.1409,-9.869
44.36687330978616,9.9577,-11.0072
38.746751204561285,10.9658,-12.1951
33.83855153428233,12.192,-13.4007
29.55209235202888,13.6569,-14.5798
25.808615404180767,15.369,-15.6765
22.539339047347887,17.3196,-16.6277
19.684194472866114,19.4779,-17.3686
17.190722018585745,21.79,-17.8434
15.013107289081743,24.1824,-18.014
13.111339374215657,26.5712,-17.8684
11.450475699382812,28.873,-17.423
10.0,31.0168,-16.7191
8.733261623828437,32.952,-15.8148
7.626985859023452,34.651,-14.7754
6.660846290809154,36.1081,-13.6639
5.817091329374358,37.3339,-12.5348
5.080218046913022,38.3504,-11.4309
4.436687330978616,39.185,-10.3832
3.874675120456128,39.8666,-9.4115
3.3838551534282333,40.4228,-8.527
2.955209235202888,40.8787,-7.7342
2.5808615404180766,41.2555,-7.0331
2.2539339047347933,41.5715,-6.4205
1.9684194472866112,41.8413,-5.8916
1.7190722018585747,42.0769,-5.4404
1.5013107289081742,42.2879,-5.0609
1.3111339374215656,42.4821,-4.7471
1.1450475699382812,42.6655,-4.4931
1.0,42.843,-4.2938
0.8733261623828438,43.0187,-4.1444
0.7626985859023452,43.1956,-4.0407
0.6660846290809154,43.3766,-3.9792
0.5817091329374358,43.5639,-3.9566
0.5080218046913023,43.7593,-3.9703
0.4436687330978616,43.9647,-4.0183
0.3874675120456128,44.1817,-4.0986
0.33838551534282335,44.4116,-4.21
0.2955209235202888,44.656,-4.3514
0.2580861540418077,44.9163,-4.5222
0.22539339047347934,45.1938,-4.7219
0.19684194472866112,45.49,-4.9504
0.17190722018585747,45.8065,-5.2079
0.15013107289081742,46.1446,-5.4947
0.13111339374215658,46.5062,-5.8115
0.11450475699382812,46.8928,-6.1592
0.1,47.3063,-6.5387
